time,number,ave_reply,ave_post,discount,big,small
2019/6/1,941,,,1,1,0
2019/7/1,811,,,1,0,1
2019/8/1,668,,,0,0,0
2019/9/1,646,,,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
